Timestamp,Raindrops on roses,Whiskers on kittens,Bright copper kettles,Warm woollen mittens,Brown paper packages tied up with string,Cream-colored ponies,Crisp apple strudels,Doorbells,Sleighbells,Schnitzel with noodles,Wild geese that fly with the moon on their wings,Girls in white dresses with blue satin sashes,Snowflakes that stay on my nose and eyelashes,Silver-white winters that melt into springs,How old are you?,How many children were in The Sound of Music von Trapp family?,What was the name of the youngest child?,How many of the children were boys?,How many times have you seen The Sound of Music?,The name of Captain von Trapp's housekeeper was...,The movie is set in...,Score
2019-11-03T13:58:07Z,5,7,7,7,7,7,7,7,7,7,5,6,6,7,NA,9,Gretl,2,1,Fraulien Gelber,Austria,3
2019-11-03T14:03:02Z,6,7,2,5,2,4,5,2,5,3,6,5,3,5,29,7,Gretl,2,2,Fraulein Schmidt,Germany,4
2019-11-03T14:04:09Z,3,7,1,7,7,1,7,4,4,5,6,2,6,7,49,6,Liesl,2,1,Fraulien Gelber,Switzerland,1
2019-11-03T14:05:57Z,5,7,2,6,6,7,6,1,3,1,5,5,7,7,40,6,Liesl,2,0,Fraulien Gelber,Austria,2
2019-11-03T14:17:59Z,5,1,5,7,5,2,4,3,5,1,7,3,7,4,38,7,Liesl,3,0,Fraulien Gelber,Austria,2
2019-11-03T14:19:03Z,5,7,4,7,7,2,6,3,2,1,1,3,6,7,45,7,Gretl,2,12,Fraulein Schräder,Austria,4
2019-11-03T14:27:36Z,2,4,3,5,6,2,5,3,6,4,5,5,6,3,40,7,Liesl,3,20,Fraulien Gelber,Austria,2
2019-11-03T14:37:50Z,7,5,6,1,7,4,7,1,5,7,5,3,7,6,38,7,Marta,3,3,Fraulein Schräder,Austria,2
2019-11-03T14:40:30Z,6,3,3,5,7,2,7,2,2,4,7,3,7,7,24,7,Gretl,2,10,Fraulein Schmidt,Austria,5
2019-11-03T14:41:13Z,5,1,4,7,7,1,5,5,4,1,7,7,7,7,65,7,Marta,3,4,Fraulein Schräder,Austria,2
2019-11-03T14:41:58Z,5,5,6,5,7,3,4,3,2,3,5,3,7,4,20,9,Marta,3,0,Fraulein Schmidt,Switzerland,1
2019-11-03T14:42:43Z,6,6,6,6,4,5,5,4,6,1,5,5,6,7,35,7,Marta,3,2,Fraulien Gelber,Austria,2
2019-11-03T14:50:39Z,5,3,1,3,1,4,5,1,7,5,3,6,7,7,41,7,Gretl,2,150,Fraulein Schräder,Austria,4
2019-11-03T14:54:53Z,3,6,3,6,7,2,7,1,7,7,4,6,7,7,37,9,Gretl,2,20,Fraulein Schräder,Austria,3
2019-11-03T14:59:11Z,3,6,3,6,7,2,7,1,7,7,4,6,7,7,37,9,Gretl,2,20,Fraulein Schräder,Austria,3
2019-11-03T14:59:34Z,7,1,5,5,7,4,6,4,4,4,4,6,6,6,66,7,Liesl,3,5,Fraulien Gelber,Austria,2
2019-11-03T15:01:14Z,5,6,3,1,6,6,5,1,1,3,4,5,3,3,40,7,Gretl,2,27,Fraulein Schmidt,Austria,5
2019-11-03T15:01:42Z,7,1,3,6,7,3,6,3,3,4,5,7,7,7,64,7,Gretl,2,0,Fraulein Schmidt,Austria,5
2019-11-03T15:09:53Z,3,1,6,6,7,1,7,4,1,1,6,5,5,7,41,7,Gretl,2,10,Fraulien Gelber,Austria,4
2019-11-03T15:11:14Z,1,1,4,7,1,2,6,7,5,5,1,5,1,6,67,6,Gretl,2,1,Fraulein Schräder,Switzerland,2
2019-11-03T15:11:51Z,6,7,2,5,1,4,5,2,1,7,7,7,2,1,40,7,Gretl,3,3,Fraulein Schmidt,Austria,4
2019-11-03T15:16:58Z,5,6,4,7,7,4,7,2,5,7,3,6,6,3,43,8,Gretl,2,43,Fraulein Schräder,Austria,3
2019-11-03T15:22:24Z,6,5,3,4,2,5,7,3,6,6,6,3,7,5,43,6,Gretl,3,8,Fraulein Schmidt,Austria,3
2019-11-03T15:37:20Z,2,7,1,5,1,1,3,1,1,3,2,1,3,5,44,6,Liesl,2,4,Fraulein Schräder,Austria,2
2019-11-03T15:43:08Z,5,6,1,7,7,5,5,1,5,1,6,5,7,7,40,7,Gretl,2,20,Fraulein Schmidt,Austria,5
2019-11-03T15:44:07Z,6,4,4,7,6,3,6,3,3,6,5,4,7,5,62,6,Brigitta,2,10,Fraulein Schmidt,Austria,3
2019-11-03T16:25:48Z,5,7,5,6,7,6,6,4,6,3,4,5,6,6,36,7,Liesl,3,5,Fraulein Schräder,Austria,2
2019-11-03T16:34:18Z,2,6,5,2,5,2,7,2,4,5,4,1,2,3,22,7,Marta,3,4,Fraulein Schräder,Austria,2
2019-11-03T16:45:55Z,6,2,5,4,4,3,7,4,5,5,4,6,6,6,40,7,Gretl,3,8,Fraulein Schmidt,Austria,4
2019-11-03T17:32:54Z,7,7,4,7,7,7,7,4,7,4,7,7,7,7,40,7,Gretl,4,3,Fraulein Schräder,Switzerland,2
2019-11-03T17:44:34Z,3,7,1,6,7,5,4,1,2,7,6,7,7,7,5.75,7,Gretl,3,0,Fraulein Schräder,Austria,3
2019-11-03T18:10:07Z,7,5,5,6,7,4,7,2,7,5,7,5,6,6,42,7,Gretl,3,8,Fraulein Schräder,Austria,3
2019-11-03T18:39:54Z,4,5,4,5,6,5,6,4,5,6,4,4,6,6,51,7,Marta,2,12,Fraulein Schräder,Austria,3
2019-11-03T18:55:05Z,3,2,1,5,7,4,7,2,2,4,3,6,6,7,38,7,Gretl,3,12,Fraulein Schräder,Austria,3
2019-11-03T18:55:22Z,3,2,1,5,7,4,7,2,2,4,3,6,6,7,38,7,Gretl,3,12,Fraulein Schräder,Austria,3
2019-11-03T19:03:14Z,6,7,5,7,6,7,7,4,5,6,6,7,7,7,40,6,Gretl,2,20,Fraulein Schräder,Austria,3
2019-11-03T19:21:36Z,2,5,2,4,4,1,4,1,1,1,5,4,6,5,50,9,Marta,3,1,Fraulein Schräder,Austria,1
2019-11-03T19:22:30Z,4,6,4,7,5,1,6,2,6,3,6,3,5,7,41,7,Gretl,2,5,Fraulein Schräder,Austria,4
2019-11-03T20:05:42Z,5,6,3,5,2,4,3,1,3,2,5,4,5,5,54,7,Marta,2,2,Fraulein Zeller,Austria,3
2019-11-03T20:11:58Z,7,7,6,4,3,2,4,1,5,2,6,1,7,7,46,7,Gretl,3,10,Fraulein Schmidt,Austria,4
2019-11-03T20:54:37Z,5,7,6,6,6,7,7,4,6,5,7,5,6,7,44,6,Gretl,3,2,Fraulein Schräder,Austria,2
2019-11-03T21:28:44Z,7,3,5,6,7,2,7,4,6,5,5,6,7,7,48,7,Gretl,2,10,Fraulein Schräder,Austria,4
2019-11-03T21:41:24Z,1,3,4,7,5,1,3,5,2,1,6,5,5,6,41,7,Liesl,2,2,Fraulein Zeller,Austria,3
2019-11-03T21:58:29Z,7,4,1,5,7,7,6,1,1,1,7,4,7,7,41,7,Gretl,2,50,Fraulein Schmidt,Austria,5
2019-11-03T22:04:26Z,5,7,5,2,5,1,5,4,3,5,2,5,7,7,25,7,Gretl,3,1,Fraulein Zeller,Austria,3
2019-11-03T22:14:10Z,6,5,4,7,5,7,7,2,2,7,1,4,6,7,8,7,Gretl,2,2,Fraulein Zeller,Austria,4
2019-11-03T22:15:55Z,7,6,4,6,7,5,5,5,6,5,7,1,7,7,41,7,Gretl,2,10,Fraulein Schmidt,Austria,5
2019-11-03T22:56:00Z,5,2,3,7,NA,5,1,2,6,3,7,1,7,7,50,8,Gretl,2,10,Fraulein Schräder,Austria,3
2019-11-03T22:58:08Z,4,5,3,5,5,1,5,3,4,2,3,4,2,4,44,6,Marta,2,2,Fraulein Schräder,Germany,1
2019-11-03T22:58:54Z,4,5,3,5,5,1,5,3,4,2,3,4,2,4,44,6,Marta,2,2,Fraulein Schräder,Germany,1
2019-11-04T00:00:33Z,5,7,4,1,6,4,7,2,5,6,6,7,2,3,41,7,Gretl,2,3,Fraulein Zeller,Austria,4
2019-11-04T01:08:37Z,4,7,4,7,5,3,7,1,4,4,5,4,4,5,46,6,Gretl,2,3,Fraulien Gelber,Austria,3
2019-11-04T01:09:11Z,4,7,4,7,5,3,7,1,4,4,5,4,4,5,46,6,Gretl,2,3,Fraulien Gelber,Austria,3
2019-11-04T01:40:28Z,3,5,1,5,5,2,6,1,3,4,1,4,5,6,40,6,Gretl,2,3,Fraulein Schräder,Austria,3
2019-11-04T02:30:26Z,7,4,6,1,7,3,5,5,5,7,7,7,6,3,42,8,Gretl,4,1,Fraulein Schmidt,Austria,3
2019-11-04T02:48:13Z,3,5,3,4,7,3,7,2,3,3,7,5,7,7,37,7,Gretl,2,1,Fraulein Schmidt,Austria,5
2019-11-04T02:54:23Z,5,5,7,2,5,4,6,4,5,5,6,6,7,6,40,9,Marta,4,4,Fraulein Schräder,Austria,1
2019-11-04T04:11:18Z,4,4,6,5,7,5,6,2,5,2,6,2,6,7,41,7,Gretl,3,4,Fraulein Schmidt,Austria,4
2019-11-04T05:07:48Z,6,6,6,4,5,7,5,4,7,3,2,5,3,4,30,7,Marta,3,1,Fraulien Gelber,Austria,2
2019-11-04T05:11:32Z,3,5,7,7,6,1,5,2,5,7,3,2,5,4,40,9,Gretl,3,8,Fraulein Schmidt,Switzerland,2
2019-11-04T05:12:07Z,6,5,6,7,4,2,7,2,3,4,6,5,6,7,54,9,Brigitta,3,2,Fraulien Gelber,Austria,1
2019-11-04T05:56:40Z,5,2,4,7,5,1,7,3,5,5,6,2,5,4,40,8,Gretl,3,3,Fraulein Schräder,Austria,2
2019-11-04T06:31:06Z,6,3,7,7,4,2,7,3,5,7,2,4,7,7,40,7,Gretl,2,4,Fraulein Zeller,Austria,4
2019-11-04T06:57:03Z,5,7,NA,5,6,6,7,7,5,1,6,4,7,7,46,9,Gretl,2,5,Fraulien Gelber,Austria,3
2019-11-04T07:31:50Z,4,2,5,7,5,3,7,5,5,2,5,5,7,7,44,7,Gretl,3,10,Fraulein Schräder,Austria,3
2019-11-04T07:58:48Z,6,2,6,7,7,4,6,5,7,7,5,7,7,7,37,7,Gretl,2,12,Fraulein Schräder,Germany,3
2019-11-04T08:03:38Z,5,2,4,5,6,1,1,1,1,1,3,2,3,4,55,7,Gretl,3,6,Fraulein Schräder,Austria,3
2019-11-04T08:48:40Z,6,5,2,7,3,2,6,1,3,5,2,3,7,7,38,7,Gretl,2,10,Fraulein Schmidt,Austria,5
2019-11-04T08:56:33Z,7,1,6,4,7,1,5,5,2,7,7,1,6,6,44,7,Gretl,3,4,Fraulein Schräder,Austria,3
2019-11-04T09:14:08Z,7,5,3,2,2,1,7,3,2,5,7,2,2,6,29,7,Marta,3,0,Fraulein Schräder,Austria,2
2019-11-04T09:19:32Z,5,5,1,6,7,4,6,1,4,5,7,3,6,7,36,7,Gretl,2,7,Fraulein Schmidt,Austria,5
