Timestamp,Raindrops on roses,Whiskers on kittens,Bright copper kettles,Warm woollen mittens,Brown paper packages tied up with string,How old are you?,How many times have you seen The Sound of Music?,Score
2019-11-03T15:01:14Z,5,6,3,1,6,40,27,5
2019-11-03T15:01:42Z,7,1,3,6,7,64,0,5
2019-11-03T15:09:53Z,3,1,6,6,7,41,10,4
2019-11-03T15:11:14Z,1,1,4,7,1,67,1,2
2019-11-03T15:11:51Z,6,7,2,5,1,40,3,4
2019-11-03T15:16:58Z,5,6,4,7,7,43,43,3
2019-11-03T15:22:24Z,6,5,3,4,2,43,8,3
2019-11-03T15:37:20Z,2,7,1,5,1,44,4,2
2019-11-03T15:43:08Z,5,6,1,7,7,40,20,5
2019-11-03T15:44:07Z,6,4,4,7,6,62,10,3
2019-11-03T16:25:48Z,5,7,5,6,7,36,5,2
2019-11-03T16:34:18Z,2,6,5,2,5,22,4,2
2019-11-03T16:45:55Z,6,2,5,4,4,40,8,4
2019-11-03T17:32:54Z,7,7,4,7,7,40,3,2
2019-11-03T17:44:34Z,3,7,1,6,7,5.75,0,3
2019-11-03T18:10:07Z,7,5,5,6,7,42,8,3
2019-11-03T18:39:54Z,4,5,4,5,6,51,12,3
2019-11-03T18:55:05Z,3,2,1,5,7,38,12,3
2019-11-03T18:55:22Z,3,2,1,5,7,38,12,3
2019-11-03T19:03:14Z,6,7,5,7,6,40,20,3
2019-11-03T19:21:36Z,2,5,2,4,4,50,1,1
2019-11-03T19:22:30Z,4,6,4,7,5,41,5,4
2019-11-03T20:05:42Z,5,6,3,5,2,54,2,3
2019-11-03T20:11:58Z,7,7,6,4,3,46,10,4
2019-11-03T20:54:37Z,5,7,6,6,6,44,2,2
2019-11-03T21:28:44Z,7,3,5,6,7,48,10,4
2019-11-03T21:41:24Z,1,3,4,7,5,41,2,3
2019-11-03T21:58:29Z,7,4,1,5,7,41,50,5
2019-11-03T22:04:26Z,5,7,5,2,5,25,1,3
2019-11-03T22:14:10Z,6,5,4,7,5,8,2,4
2019-11-03T22:15:55Z,7,6,4,6,7,41,10,5
2019-11-03T22:56:00Z,5,2,3,7,NA,50,10,3
2019-11-03T22:58:08Z,4,5,3,5,5,44,2,1
2019-11-03T22:58:54Z,4,5,3,5,5,44,2,1
2019-11-04T00:00:33Z,5,7,4,1,6,41,3,4
2019-11-04T01:08:37Z,4,7,4,7,5,46,3,3
2019-11-04T01:09:11Z,4,7,4,7,5,46,3,3
2019-11-04T01:40:28Z,3,5,1,5,5,40,3,3
2019-11-04T02:30:26Z,7,4,6,1,7,42,1,3
2019-11-04T02:48:13Z,3,5,3,4,7,37,1,5
2019-11-04T02:54:23Z,5,5,7,2,5,40,4,1
2019-11-04T04:11:18Z,4,4,6,5,7,41,4,4
2019-11-04T05:07:48Z,6,6,6,4,5,30,1,2
2019-11-04T05:11:32Z,3,5,7,7,6,40,8,2
2019-11-04T05:12:07Z,6,5,6,7,4,54,2,1
2019-11-04T05:56:40Z,5,2,4,7,5,40,3,2
2019-11-04T06:31:06Z,6,3,7,7,4,40,4,4
2019-11-04T06:57:03Z,5,7,NA,5,6,46,5,3
2019-11-04T07:31:50Z,4,2,5,7,5,44,10,3
2019-11-04T07:58:48Z,6,2,6,7,7,37,12,3
2019-11-04T08:03:38Z,5,2,4,5,6,55,6,3
2019-11-04T08:48:40Z,6,5,2,7,3,38,10,5
2019-11-04T08:56:33Z,7,1,6,4,7,44,4,3
2019-11-04T09:14:08Z,7,5,3,2,2,29,0,2
2019-11-04T09:19:32Z,5,5,1,6,7,36,7,5
